farm_id,lat,lon,crop_type,area_hectares
farm_090,39.68888141754686,-95.17774432045816,corn,180.6849361820667
farm_091,40.224324337026005,-95.0393658418339,soybean,217.5007617309781
farm_092,40.93521194890776,-94.15599148381554,wheat,212.18266168659895
farm_093,40.63883244789421,-95.29578569441792,wheat,466.0710895457467
farm_094,39.89115939838639,-94.4506115740064,corn,372.5552926192135
farm_095,39.68657106523092,-95.67100365202668,corn,257.57366249945
farm_096,39.738405953206446,-94.5254285061095,wheat,58.99259470931305
farm_097,39.79435470467009,-94.50798822771846,soybean,341.6172531679086
farm_098,39.328843586745,-96.68204776323164,corn,54.93503215665573
farm_099,40.56177089084576,-93.92839740594306,corn,378.6635194244632
